f chopin|PERSON|0.0|ang
name day|DATE|1.0|ang
f chopin|PERSON|1.0|ang
day|DATE|2.0|ang
f chopin|PERSON|2.0|ang
beloved papa|PERSON|3.0|ang
f chopin|PERSON|3.0|ang
marylski|PERSON|4.0|ang
zabalewicz|PERSON|4.0|ang
the sixteenth or seventeenth of that month|DATE|4.0|ang
commission|ORG|4.0|ang
fifteenth|ORDINAL|4.0|ang
academy|ORG|4.0|ang
the fifteenth|DATE|4.0|ang
weltz|PERSON|4.0|ang
titus|PERSON|4.0|ang
białobłocki|PERSON|4.0|ang
warsaw|GPE|4.0|ang
saturday|DATE|4.0|ang
tuesday|DATE|4.0|ang
wednesday|DATE|4.0|ang
mom, papa|ORG|4.0|ang
ludwika|PERSON|4.0|ang
f chopin|PERSON|4.0|ang
p kulikowski|PERSON|4.0|ang
karwowski|PERSON|4.0|ang
wilczyński|PERSON|4.0|ang
krzywicki|PERSON|4.0|ang
kulikowski|PERSON|4.0|ang
kalisz|PERSON|4.0|ang
verbe connaître|PERSON|5.0|ang
yesterday|DATE|5.0|ang
gerardot|PERSON|5.0|ang
warsaw|GPE|5.0|ang
gerard|PERSON|5.0|ang
szafarnia|GPE|5.0|ang
almost only one|CARDINAL|5.0|ang
dziewanowski|PERSON|5.0|ang
first|ORDINAL|5.0|ang
miss ludwika|PERSON|5.0|ang
miss józefa|PERSON|5.0|ang
saturday|DATE|5.0|ang
podowski|PERSON|5.0|ang
sumiński|PERSON|5.0|ang
piwnicki|PERSON|5.0|ang
chamberlain piwnicki|PERSON|5.0|ang
borzewska|PERSON|5.0|ang
dobrzeniecki|PERSON|5.0|ang
białobłocki|GPE|5.0|ang
sunday|DATE|5.0|ang
gulbiny|ORG|5.0|ang
today|DATE|5.0|ang
sokołów|GPE|5.0|ang
half|CARDINAL|5.0|ang
tyzanne every day|DATE|5.0|ang
air moore|ORG|5.0|ang
variée pour le pianoforte|PERSON|5.0|ang
brzezina|GPE|5.0|ang
dziewanowska|PERSON|5.0|ang
last 27 days|DATE|5.0|ang
ludwika|PERSON|5.0|ang
izabelka|ORG|5.0|ang
emilka|GPE|5.0|ang
dekert|PERSON|5.0|ang
leszczyńska|PERSON|5.0|ang
chomontowski|ORG|5.0|ang
f f chopin|PERSON|5.0|ang
dziewanowskie|PERSON|5.0|ang
juliusz|PERSON|5.0|ang
domuś|ORG|5.0|ang
mom, papa|ORG|5.0|ang
żywny|PERSON|5.0|ang
siebert|PERSON|5.0|ang
woycicki|PERSON|5.0|ang
kuryer szafarski|ORG|6.0|ang
august 16, 1824|DATE|6.0|ang
1820|DATE|6.0|ang
national news|ORG|6.0|ang
11 august|DATE|6.0|ang
j p fryderyk chopin|PERSON|6.0|ang
dziewanowska|PERSON|6.0|ang
miss ludwika|PERSON|6.0|ang
j p franciszek chopin|PERSON|6.0|ang
every day|DATE|6.0|ang
j p jakub chopin|PERSON|6.0|ang
six|CARDINAL|6.0|ang
a day|DATE|6.0|ang
mikołajek|PERSON|6.0|ang
four|CARDINAL|6.0|ang
three|CARDINAL|6.0|ang
may 13, 2010|DATE|6.0|ang
jpan better|PERSON|6.0|ang
berliner|PRODUCT|6.0|ang
jp berger|ORG|6.0|ang
skolimowski|PERSON|6.0|ang
łagowska|PERSON|6.0|ang
the 15th and 2000s|DATE|6.0|ang
turkey|GPE|6.0|ang
indyki|PERSON|6.0|ang
last night|TIME|6.0|ang
the 14th month of the year|DATE|6.0|ang
drake|PERSON|6.0|ang
the 14th of the year|DATE|6.0|ang
carmelite|ORG|6.0|ang
bocheniec|ORG|6.0|ang
two|CARDINAL|6.0|ang
gander|PERSON|6.0|ang
l d|PERSON|6.0|ang
kuryer szafarski|ORG|7.0|ang
august 19, 1824|DATE|7.0|ang
national news|ORG|7.0|ang
pichon|PERSON|7.0|ang
kalkbrenner|PERSON|7.0|ang
jew|NORP|7.0|ang
18 months|DATE|7.0|ang
ff|ORG|7.0|ang
m i chopin|PERSON|7.0|ang
seven|CARDINAL|7.0|ang
eight|CARDINAL|7.0|ang
willie|PERSON|8.0|ang
et caetera|PERSON|8.0|ang
half|CARDINAL|8.0|ang
beloved wiluś|PERSON|8.0|ang
4 weeks|DATE|8.0|ang
ffchopin|PERSON|8.0|ang
kuryer szafarski|ORG|9.0|ang
august 24, 1824|DATE|9.0|ang
foreign news|ORG|9.0|ang
the day|DATE|9.0|ang
20/20|CARDINAL|9.0|ang
obrów|GPE|9.0|ang
maryanna|PERSON|9.0|ang
kuryer szafarski|ORG|10.0|ang
friday, august 27, 1824|DATE|10.0|ang
year 1798|DATE|10.0|ang
national news day 25th and 25th june|EVENT|10.0|ang
kostena|PERSON|10.0|ang
jsimon|ORG|10.0|ang
first|ORDINAL|10.0|ang
26/26/2020|ORG|10.0|ang
kurnik|ORG|10.0|ang
two|CARDINAL|10.0|ang
one|CARDINAL|10.0|ang
warsaw|GPE|10.0|ang
jpan pichon|PERSON|10.0|ang
szafarnia|GPE|10.0|ang
26/26|CARDINAL|10.0|ang
