num|neg|neu|pos|com
0|0.0|0.578|0.422|0.9804
1|0.0|0.583|0.417|0.9558
2|0.0|0.424|0.576|0.9876
3|0.021|0.639|0.339|0.9773
4|0.042|0.91|0.048|0.4753
5|0.053|0.799|0.148|0.9968
6|0.101|0.719|0.18|0.9877
7|0.0|0.811|0.189|0.9007
8|0.073|0.708|0.219|0.9969
9|0.017|0.92|0.063|0.6705
10|0.161|0.767|0.073|-0.9956
11|0.139|0.782|0.079|-0.9935
12|0.103|0.799|0.098|-0.6293
13|0.042|0.791|0.167|0.9948
14|0.031|0.842|0.127|0.9892
15|0.068|0.842|0.09|0.9933
16|0.048|0.818|0.134|0.9973
17|0.084|0.719|0.197|0.9868
18|0.081|0.758|0.161|0.9953
19|0.03|0.787|0.183|0.999
20|0.049|0.741|0.21|0.998
21|0.111|0.789|0.101|-0.5851
22|0.09|0.788|0.122|0.9891
23|0.077|0.737|0.186|0.9992
24|0.049|0.824|0.127|0.9974
25|0.028|0.532|0.44|0.993
26|0.056|0.821|0.123|0.9919
27|0.068|0.768|0.164|0.9965
28|0.135|0.756|0.109|-0.9663
29|0.051|0.812|0.137|0.9952
30|0.102|0.785|0.113|-0.1467
31|0.063|0.804|0.133|0.9989
32|0.04|0.824|0.136|0.9987
33|0.009|0.912|0.079|0.9856
34|0.027|0.878|0.095|0.9787
35|0.056|0.869|0.076|0.965
36|0.042|0.82|0.138|0.9956
37|0.031|0.783|0.187|0.9992
38|0.056|0.771|0.173|0.999
39|0.032|0.821|0.147|0.9914
40|0.033|0.864|0.102|0.9852
41|0.062|0.802|0.136|0.9945
42|0.036|0.824|0.14|0.9996
43|0.074|0.774|0.152|0.9993
44|0.049|0.808|0.143|0.9991
45|0.044|0.767|0.188|0.9993
46|0.0|0.571|0.429|0.9919
47|0.09|0.77|0.14|0.9977
48|0.056|0.783|0.161|0.9994
49|0.07|0.787|0.142|0.9991
50|0.06|0.799|0.141|0.9984
51|0.059|0.811|0.13|0.9989
52|0.067|0.776|0.156|0.9994
53|0.08|0.728|0.192|0.9993
54|0.089|0.762|0.148|0.9988
55|0.081|0.805|0.114|0.9934
56|0.09|0.71|0.2|0.9996
57|0.084|0.777|0.138|0.998
58|0.072|0.798|0.131|0.9974
59|0.03|0.853|0.117|0.9942
60|0.041|0.775|0.184|0.9994
61|0.052|0.794|0.154|0.9987
62|0.022|0.87|0.108|0.9939
63|0.095|0.694|0.21|0.9956
64|0.035|0.842|0.123|0.9994
65|0.052|0.796|0.151|0.9995
66|0.093|0.781|0.126|0.9987
67|0.134|0.658|0.208|0.9783
68|0.114|0.691|0.195|0.9973
69|0.058|0.755|0.187|0.9991
70|0.092|0.809|0.099|-0.4095
71|0.188|0.679|0.133|-0.2598
72|0.051|0.834|0.115|0.9932
73|0.026|0.762|0.212|0.9862
74|0.069|0.782|0.149|0.995
75|0.082|0.757|0.161|0.9975
76|0.038|0.82|0.141|0.9802
77|0.065|0.691|0.244|0.9993
78|0.097|0.766|0.137|0.9942
79|0.081|0.887|0.031|-0.6249
80|0.193|0.686|0.121|-0.9973
81|0.069|0.766|0.165|0.999
82|0.019|0.816|0.165|0.9961
83|0.023|0.747|0.231|0.9997
84|0.094|0.773|0.134|0.9659
85|0.078|0.757|0.164|0.9998
86|0.0|0.809|0.191|0.3818
87|0.076|0.752|0.172|0.9998
88|0.031|0.764|0.204|0.9997
89|0.085|0.774|0.141|0.999
90|0.135|0.719|0.146|0.7573
