id,name
410,For father in his name day
411,For mother in her name day
412,For father in his name day
413,For father in his name day
415,To Eustachy Marylski in Pęcice
416,To parents in Warsaw
417,Letter from Fryderyk Chopin to family
419,To Wilhelm Kolberg
418,To family in Warsaw
420,To family in Warsaw
421,Letter from Fryderyk Chopin to family
422,Letter from Fryderyk Chopin to family
423,Letter from Fryderyk Chopin to family
425,To Jan Białobłocki in Sokołowo
426,To Jan Białobłocki in Sokołowo
429,To family in Warsaw
428,To Jan Matuszyński in Warsaw
424,To Jan Białobłocki in Sokołowo
430,To Jan Białobłocki in Sokołowo
431,To Jan Białobłocki in Biskupiec
432,To Jan Białobłocki in Biskupiec
433,To Jan Białobłocki in Sokołowo
434,To Jan Białobłocki in Biskupiec
435,To Jan Białobłocki in Sokołowo
436,To Jan Białobłocki in Sokołowo
437,To Wilhelm Kolberg in Warsaw
438,Wojciech Żywny to Fr. Chopin in Duszniki
439,To Józef Elsner in Warsaw
440,To Jan Białobłocki in Sokołowo
441,To Jan Białobłocki in Sokołowo
442,To Jan Białobłocki in Sokołowo
427,Letter from Fryderyk Chopin to family
443,To Jan Matuszyński in Warsaw
444,To Tytus Woyciechowski in Poturzyn
445,To family in Warsaw
446,To family in Warsaw
447,To family in Warsaw
448,To Tytus Woyciechowski in Poturzyn
449,"Nicolas Chopin to St. Grabowski, the Minister of Religious Denominations and Public Enlightenment in Warsaw"
450,To family in Warsaw
451,To family in Warsaw
452,To family in Warsaw
453,To family in Warsaw
455,Wilhelm Würfel to Director Štěpánek in Prague
454,To family in Warsaw
456,To family in Warsaw
457,To family in Warsaw
663,To Tytus Woyciechowski in Poturzyn
664,To Tytus Woyciechowski in Poturzyn
665,To Tytus Woyciechowski in Poturzyn
666,Antoni Radziwiłł to Fr. Chopin in Warsaw
667,To Tytus Woyciechowski in Poturzyn
668,To Tytus Woyciechowski in Poturzyn
669,To Tytus Woyciechowski in Poturzyn
670,To Tytus Woyciechowski in Poturzyn
671,To Tytus Woyciechowski in Poturzyn
672,To Tytus Woyciechowski in Poturzyn
673,To Tytus Woyciechowski in Poturzyn
674,To Tytus Woyciechowski in Poturzyn
675,To Tytus Woyciechowski in Poturzyn
676,To Tytus Woyciechowski in Poturzyn
677,To Tytus Woyciechowski in Poturzyn
678,To Tytus Woyciechowski in Poturzyn
679,To Tytus Woyciechowski in Poturzyn
680,To family in Warsaw
681,To family in Warsaw
682,To family in Warsaw
683,To Jan Matuszyński in Warsaw
684,To family in Warsaw
685,To family in Warsaw
686,To Jan Matuszyński in Warsaw
689,To Jan Matuszyński in Warsaw
688,To Jan Matuszyński in Warsaw
690,To Józef Elsner in Warsaw
687,From Album-Diary of Frederic Chopin
691,From Album-Diary of Frederic Chopin
692,To family in Warsaw
693,To Václav Hanka in Prague
694,To family in Warsaw
695,To family in Warsaw
696,Nicolas Chopin to Fr. Chopin in Munich
697,Stefan Witwicki to Fr. Chopin in Vienna
698,To family in Warsaw
699,To family in Warsaw
700,From Album-Diary of Frederic Chopin
701,To Norbert Alfons Kumelski in Berlin
705,Józef Elsner to Fr. Chopin in Paris
703,Izabela Chopin to Fr. Chopin in Paris
704,Ludwika Chopin to Fr. Chopin in Paris
702,Nicolas Chopin to Fr. Chopin in Paris
1347,Letter from Ferdinando Paër to C. P. Sotte
706,Ludwik Piotr Norblin to Fr. Chopin in Paris
708,To Tytus Woyciechowski in Poturzyn
458,To Józef Elsner in Warsaw
459,To Tytus Woyciechowski in Poturzyn
460,Nicolas Chopin to Fr. Chopin in Paris
461,Ludwika Chopin to Fr. Chopin in Paris
462,To the Commitee of the Concert Society in Paris
463,To Józef Nowakowski in Warsaw
465,Ludwika Chopin to Fr. Chopin in Paris
464,Nicolas Chopin to Fr. Chopin in Paris
487,To Julian Fontana in Paris
466,To Ferdinand Hiller in Frankfurt
468,Juliusz Słowacki to his mother in Krzemieniec
469,Ludwik Piotr Norblin to Fr. Chopin in Paris
470,To Kalasanty Jędrzejewicz in Warsaw
514,To Julian Fontana in Paris
473,Letter from Józef Elsner to Fryderyk Chopin
472,Kalasanty Jędrzejewicz to Fr. Chopin in Paris
471,Nicolas Chopin to Fr. Chopin in Paris
475,To Dominik Dziewanowski in Berlin
476,To the chairman of Polish Literary Society in Paris
495,Nicolas Chopin to Fr. Chopin in Paris
496,Izabela Chopin to Fr. Chopin in Paris
477,Henri Herz to Fr. Chopin in Paris
479,Antoni Barciński to Fr. Chopin in Paris
478,Nicolas Chopin to Fr. Chopin in Paris
480,"Franz Liszt, Fr. Chopin and Auguste Franchomme to Ferdinand Hiller in Frankfurt"
467,To Auguste Franchomme in Tours
481,Letter from Fryderyk Chopin to Auguste Franchomme
482,Nicolas Chopin to Fr. Chopin in Paris
499,Ferenc Liszt to Fr. Chopin in Paris
483,Izabela Chopin to Fr. Chopin in Paris
484,Antoni Barciński to Fr. Chopin in Paris
485,Michał Skarbek to Fr. Chopin in Paris
509,Hector Berlioz to Fr. Chopin in Paris
511,To Julian Fontana in Paris
488,François Fétis to Fr. Chopin in Paris
490,Adam Crémieux to Fr. Chopin in Paris
489,Adam Crémieux to Fr. Chopin in Paris
491,Nicolas Chopin to Fr. Chopin in Paris
486,To Julian Fontana in Paris
492,Nicolas Chopin to Fr. Chopin in Paris
493,Izabela Chopin to Fr. Chopin in Paris
497,Hector Berlioz to Fr. Chopin in Paris
494,To Regina Hiller in Paris
510,Auguste Franchomme to Fr. Chopin in Paris
498,To Feliks Wodziński in Geneva
501,Ludwika Jędrzejewicz to Fr. Chopin in Paris
500,Nicolas Chopin to Fr. Chopin in Paris
502,Izabela Chopin to Fr. Chopin in Paris
504,Letter from Józef Elsner to Fryderyk Chopin
505,Friedrich Kalkbrenner to Fr. Chopin in Paris
506,Letter from Józef Dwernicki to Fryderyk Chopin
507,Anna Liszt to Fr. Chopin in Paris
508,Mikołaj Chopin to Fr. Chopin in Paris
594,Marie d’Agoult to Fr. Chopin in Paris
474,Ferdinand Hiller to Fr. Chopin in Paris
513,Ludwika Jędrzejewicz to Fr. Chopin in Paris
512,Nicolas Chopin to Fr. Chopin in Paris
515,Letter from Józef Bem to Fryderyk Chopin
516,Teresa Wodzińska to Fr. Chopin
517,Astolphe de Custine to Fr. Chopin in Paris
1364,Letter from Leopold Thun-Hohenstein to Louis Kleinwächter and Carl Helminger
518,Nicolas Chopin to Fr. Chopin in Paris
519,Wojciech Żywny to Fr. Chopin in Paris
520,Edward Wolff to Józef Nowakowski in Warsaw
521,Nicolas Chopin to Kalasanty Jędrzejewicz in Warsaw
522,To Kalasanty Jędrzejewicz in Warsaw
523,Nicolas Chopin to Fr. Chopin in Dresden
524,Maria Wodzińska to Fr. Chopin in Paris
