id,osoba_od,osoba_do,miejsce_od,miejsce_do,data_start,data_stop,data_txt,name,txt,summary
410,['Fryderyk Chopin'],['Mikołaj Chopin'],,,1816-12-06,,Dnia 6 grudnia 1816,Ojcu w dniu imienin," Gdy świat Imienin uroczystość głosi Twoich, mój Papo, wszak i mnie przynosi Radość, z powodem uczuciów złożenia, Byś żył szczęśliwie, nie znał przykrych ciosów, Być zawsze sprzyjał Bóg pomyślnych losów, Te Ci z pragnieniem ogłaszam życzenia. F. Chopin. ",
411,['Fryderyk Chopin'],['Justyna Chopin'],,,1817-06-16,,Dnia 16 czerwca 1817 r.,Matce w dniu imienin," Imienin Twoich, Mamo, Ci winszuję! Niech ziszczą nieba, co w mym sercu czuję: Obyś zawsze zdrową wraz szczęśliwą była, Jak najdłuższe życie pomyślnie spędziła. F. Chopin. ",
412,['Fryderyk Chopin'],['Mikołaj Chopin'],,,1817-12-06,,Dnia 6 grudnia 1817 r.,Ojcu w dniu imienin," Jak wielką radość w sercu moim czuję! Gdy tak przyjemny, drogi i wspaniały Dzień się zaczyna, którego winszuję Życząc, by w szczęściu lata długie trwały, W zdrowiu, czerstwości, pomyślnie, spokojnie: Niech niebios dary spłyną na Cię hojnie! F. Chopin. ",
413,['Fryderyk Chopin'],['Mikołaj Chopin'],,,1818-12-06,,Dnia 6 grudnia 1818 r.,Ojcu w dniu imienin," Kochany Papo! Lubo by mi łatwiej było wynurzyć uczucia moje, gdyby je muzycznymi tonami wyrazić można, gdy jednak i najlepszy koncert przywiązania mego ku Tobie, Kochany Papo, objąć nie potrafi, użyć muszę prostych wyraz&oacute;w serca mego, aby Ci najczulej wdzięczności i przywiązania synowskiego hołd złożyć. F. Chopin. ",
1311,['Fryderyk Chopin'],['Julian Fontana'],Warszawa,,1823-01-01,1826-12-31,1823–1826 (?),Wiersz dedykowany Julianowi Fontanie (?)," Rzadką jest przyjaźń prawdziwa, 
 Skąpo swych darów udziela; 
 Co za szczęcia ten używa, 
 Kto mógł znaleźć przyjaciela. 
   
 Tak jak piłka wyskakuje, 
 Tak i przyjaźń wylatuje. 
   
 Chopin. ",
415,['Fryderyk Chopin'],['Eustachy Marylski'],Warszawa,Pęcice,1823-09-08,,"[Warszawa, wrzesień 1823]",Do Eustachego Marylskiego w Pęcicach," Kochany Marylski! Sam byłem u pana Zabalewicza dla dowiedzenia się, kiedy się kursa dla zaczynających, a nie egzamina zaczynają; odpowiedział mi, że kursa zaczną się albo szesnastego, albo siedemnastego tego miesiąca, bo jeszcze Komisja nie ustanowiła, czy piętnastego, czyli też szesnastego publiczne posiedzenie Akademii ma się odbyć. Prócz tego powiedział mi, że rano odbywać się będą prelekcje, po południu zaś egzamina i że od piętnastego nikogo już wcale nie zapisze. Przepraszam Cię, że tak brzydko piszę, bo się śpieszę. Donieś więc Weltzowi to, com Ci napisał, i kłaniaj się bardzo ode mnie jemu i Tytusowi. Białobłocki przyjechał do Warszawy w sobotę, ma się we wtorek zapisać, we środę dopiero wyjechać i potem na kursa powrócić. Mama, Papa Państwu Marylskim, Ludwika siostrze Twojej ukłony zasyłają. Ja Cię z braćmi ściskam serdecznie. F. Chopin. P. Kulikowski, Karwowski, Wilczyński i Krzywicki dymisją dostali, a na miejsce p. Kulikowskiego ów profesor z Kalisza profesorstwo przyjął. Pan Dobronoki ukłony Ci zasyła. Do widzenia. Nie pokazuj nikomu tego listu, boby każdy powiedział, że pisać wcale nie umiem ani się na polityce nie znam. ",
416,['Fryderyk Chopin'],['Mikołaj Chopin'],Szafarnia,Warszawa,1824-08-10,,"[Szafarnia], wtorek 10 sierpnia 1824",Do rodziców w Warszawie," Najukochańsi Rodzice. Jestem zdrów z łaski Pana Boga i najprzyjemniej zawsze czas mi schodzi. Nie czytam, nie piszę, ale gram, rysuję, biegam, używam świeżego powietrza, już to jadąc w pojeździe na spacer, już też na siwym participe du verbe connaître tak jak właśnie wczoraj pola objeżdżając. Jem z nadzwyczajnym apetytem, a nic mi nie potrzeba do zupełnego zadowolenia chudego brzucha, który już tyć zaczyna, jak tylko na pozwolenia [!] i wolności jedzenia chleba wiejskiego . Gerardot wprawdzie nie pozwolił mi jeść chleba żytniego, lecz to się ściągało tylko do chleba warszawskiego, nie zaś do wiejskiego. Nie pozwolił mi go jeść, bo kwaśny, a szafarski bez najmniejszego kwasu. Ten czarny, a ten biały. Tamten z grubej mąki, a ten z pięknej, na koniec ten by lepiej Gerardemu smakował niż tamten, i żeby go mógł skosztować, pewnie by mi go jeść pozwolił, bo zwyczajem doktorskim jest pozwalać pacjentom to, co sami lubią. Lecz nie dość na tym; Warszawa miasto, a Szafarnia wieś. Tam dla wszystkich bułki, a tu prawie tylko dla mnie jednego. Jakże więc można, żeby mi Mama pozwolenia nie dała? Czyliż nie dosyć jasno wystawiłem, że mogę jeść chleb wiejski? Żeby tylko Gerardot był w Warszawie, zaraz bym prosił Pani Dziewanowski [!] o bochenek chleba i przez pocztę w pudełeczku przesłał, a za pierwszym ugryzeniem kromeczki Gerardot dałby pozwolenie. W nadziei więc, iż uzyskam to, o co tak bardzo proszę (za pozwoleniem Panny Ludwiki i Panny Józefy, które mi już raz pozwoliły w nadziei mającego przyjść pozwolenia), kończę w tej materii moją dyssertacją. – W sobotę było wiele gości w Szafarni: Pan Podowski, Pan Sumiński, Państwo Piwniccy, Pan Szambelan Piwnicki, Pani Borzewska, brat Pani Dziewanowski [!], Pan Wybraniecki z Białobłockim.  – W niedzielę byliśmy w Gulbinach u państwa Piwnickich, dziś jesteśmy w Sokołowie u Wybranieckiego.  – Biorę pigułki regularnie i tyzanny co dzień po pół karafinki wypijam nie przerywając. Przy stole nic nie pijam, tylko trochę słodkiego wina, frukta jem, ale jak najdojrzalsze i zaaprobowane przez Pannę Ludwikę.  –  Oczekujemy Papy z największą niecierpliwością, a ja Papy proszę, żeby Papa był łaskaw i kupił u Brzeziny Air Moore variée pour le pianoforte à quatres mains par Ries , i przywiózł, ponieważ chcę je grać z Panią Dziewanowską; prócz tego, żeby Papa mógł przywieźć albo receptę, albo słojek pigułek, bo te tylko, które mam, podług dzisiejszej rachuby na 27 dni wystarczą. Zresztą nie mam nic do pisania, jak tylko, żeby mi Ludwika doniosła o zdrowiu Mamy i Papy, o którym nie wątpię, że już zupełnie zdrów na swój krzyż.  –  Ludkę, Izabelkę, Emilkę, Zuzię, Panią Dekert, Pannę Leszczyńską ściskam serdecznie. Konikowi Polnemu i Chomontowskiemu ukłony zasyłam. Całuję rączki i nóżki Najukochańszych Rodziców najprzywiązańszy syn F. F. Chopin. Pani Dziewanowska, Panny Dziewanowskie, Pan Juliusz i Domuś ukłony Mamie, Papie i dzieciom zasyłają. Panu Żywnemu, Panu Siebertowi, Panu Woycickiemu moje uszanowanie. Nb. Pan Szambelan Piwnicki kłania się Papie i cieszy się, że Papę zobaczy. ",
417,['Fryderyk Chopin'],['Justyna Chopin'],,Warszawa,1824-08-16,,Dnia 16 Sierpnia 1824 roku.,List Fryderyka Chopina do rodziny ," KURYER SZAFARSKI Dnia 16 Sierpnia 1824 roku. Wspomnienie narodowe r. 1820: wyszlamowana sadzawka w podwórzu. Wiadomości Krajowe Dnia 11 Sierpnia r. b. odbywał J. P. Fryderyk Chopin kursa na dzielnym koniu; ubiegał się do mety; a lubo po kilkakroć pieszo idącą Panią Dziewanowską wyścignąć nie mógł (w czym nie jego, lecz konia wina była), otrzymał jednak zwycięstwo nad Panną Ludwiką , która już dość blisko mety piechotą doszła. – J. P. Franciszek Chopin wyjeżdża co dzień na spacer, z takimi jednak honorami, iż zawsze na tyle siada.  – J. P. Jakub Chopin wypija na dzień sześć filżanek [!] kawy żołędziowej, Mikołajek zaś co dzień cztery bułeczki zjada, notabene prócz potężnego obiadu i trzypotrawnej kolacyjki. Dnia 13 m. i r. b. JPan Better dał się słyszeć na fortepianie z niepospolitym talentem. Wirtuosus ten, Berlińczyk, gra w guście JPana Bergera (owego fortepianisty skolimowskiego), w sztrychu i układzie palcy przechodzi Panią Łagowskę, a z takim uczuciem gra, iż każda prawie nutka nie z serca, ale z potężnego brzucha wychodzić się zdaje. Dnia 15 m. i r. b. doszła ważna wiadomość, jako się przypadkiem Indyczka za spichlerzem w kąciku wylęgła. Ważny ten wypadek nie tylko że przyczynił się do pomnożenia familii Indyków, lecz nadto powiększył dochody skarbowe i powiększanie się onych zapewnił. – Wczoraj w nocy kot zakradłszy się do garderoby stłukł Butelkę z sokiem; lecz jak z jednej strony wart szubienicy, tak z drugiej strony zasługuje na powchałę [!], bo sobie najmniejszą wybrał.  – Dnia 14 m. b. kura okulawiała, a kaczor w pojedynku z gęsią nogę stracił. Krowa tak gwałtownie zachorowała, że aż się w ogrodzie pasie.  –  Dnia 14 m. b. wypadł wyrok, ażeby, pod karą śmierci, żadne prosię nie ważyło się wchodzić do ogrodu. Wiadomości Zagraniczne Pewien obywatel w okolicy chciał czytać „Monitora”. Wysłał więc służącego do księży karmelitów w Oborach, prosząc o pismo periodyczne. Służący, w życiu o piśmie periodycznym nie słysząc, przekręcił wyraz i pytał się księży o pismo hemo roidyczne . W Bocheńcu lis zjadł dwóch bezbronnych gąsiorów; kto by go złapał, niech raczy uwiadomić sąd bocheniecki, który niezawodnie podług praw i przepisów zbrodniarza ukarze. Oddawcy zaś lisa owe dwa gąsiory jako godne wynagrodzenie ustąpione będą. Wolno posłać Cenzor L. D. "," List Fryderyka Chopina do rodziny w Warszawie, „Kuryer Szafarski”, „Dnia 11 Sierpnia r. b. odbywał J. P. Fryderyk Chopin | kursa na dzielnym koniu [...]”, [niesygnowany], Szafarnia, 16\/08\/1824, s. 2. "
419,['Fryderyk Chopin'],['Wilhelm Kolberg'],Szafarnia,,1824-08-19,,"[Szafarnia], dnia 19 sierpnia 1824",Do Wilhelma Kolberga," Kochany Wilusiu! Dziękuję Ci za Twoją pamięć o mnie, ale z drugiej strony, gniewam się na Ciebie, żeś taki brzydki, niedobry, bla, na koniec, żeś taki et caetera i do mnie tylko półpiórkiem pisał. Czy Ci papieru, czy pióra, czy atramentu szkoda było? Możeś czasu nie miał? Czy też na koniec nie chciało Ci się jak się należy napisać, a nie przypominać sobie na końcu o mnie. Ej, bo, to to: na koniu jeździ – bawi się dobrze, o mnie nie myśli... Ale co tam – daj mi buzi, i zgoda. Cieszę się, żeś zdrów i żeś wesół, bo tego na wsi potrzeba, a zarazem to mi jest przyjemne, że do Ciebie pisać mogę. Ja się też wcale nieźle bawię, a nie tylko Ty jeździsz na koniu, bo i ja umiem na nim siedzieć. Nie pytaj, czy dobrze, ale umiem; przynajmniej tak, że koń powoli, gdzie chce, idzie, a ja, jak małpa na niedźwiedziu, na nim ze strachem siedzę. Dotąd nie miałem jeszcze przypadku zlecenia z konia, bo koń mię nie zrucił, ale... może kiedy zlecę, jeżeli mu się spodoba. Nie będę Ci głowy zawracać moimi interesami, bo wiem, że Ci się to na nic nie przyda. Muchy mi często na wyniosłym siadają nosie, ale to mniejsza, bo to jest prawie zwyczajem tych natrętnych zwierzątek. Komary mię gryzą, lecz to mniejsza, bo nie w nos. Bujam po ogrodzie, a czasem chodzę. Chodzę do lasu, a czasem jeżdżę, notabene nie na koniu, lecz w bryczce lub w koczu, lub w karecie, z takimi jednak chonorami [!], iż zawsze na tyle siadam, a nigdy na przodku . – Możem Cię już znudził, ale cóż robić. Jeżeli zaś nie, napisz na najbliższą pocztę, a ja czym prędzej moje literały kontynuować będę. Bez żadnych tedy komplimentów kończę mój list, ale po przyjacielsku. Bądź zdrów, Kochany Wilusiu, a proszę Cię, pisz do mnie, a nie tylko przypisuj. Za 4 tygodnie widzieć się będziemy. Ściskam Cię serdecznie, szczery Twój przyjaciel FFChopin. Mamie i Papie moje uszanowanie przesyłam, a braci ściskam. ",
418,['Fryderyk Chopin'],['Justyna Chopin'],,Warszawa,1824-08-19,,Dnia 19 Sierpnia 1824 roku.,Do rodziny w Warszawie," KURYER SZAFARSKI Dnia 19 Sierpnia 1824 roku. Wiadomości Krajowe Dnia 15 Sierpnia r. b. na Zgromadzeniu muzycznym w Szafarni, złożonym z kilkunastu osób i półosóbek, popisywał się JP. Pichon i grał koncert Kalkbrennera, który atoli nie tyle zrobił wrażenia, szczególniej na małych figurkach, ile Żydek grany przez tegoż Pana Pichona. Dnia 18 m. i r. b. JP. FF. M. I. Chopin wypił siedem filiżanek kawy żołędziowej. Spodziewać się trzeba, iż niedługo osiem wypije. ",
