id,adresat,miejsce_wzmiankowane,osoba_prawdopodobnie_wzmiankowana,osoba_wzmiankowana
417,"['Barcińska, Izabella', 'Chopin, Emilia', 'Chopin, Justyna', 'Chopin, Mikołaj', 'Jędrzejewiczowa, Ludwika']",['Obory (powiat golubsko-dobrzyński)'],,"['Dziewanowska, Honorata', 'Dziewanowska, Ludwika']"
421,"['Barcińska, Izabella', 'Chopin, Emilia', 'Chopin, Justyna', 'Chopin, Mikołaj', 'Jędrzejewiczowa, Ludwika']","['Golub', 'Sokołowo', 'Szafarnia', 'Warszawa']",,
422,"['Barcińska, Izabella', 'Chopin, Emilia', 'Chopin, Justyna', 'Chopin, Mikołaj', 'Jędrzejewiczowa, Ludwika']",['Nieszawa'],,"['Catalani, Angelika', 'Dziewanowska, Józefa']"
423,"['Barcińska, Izabella', 'Chopin, Emilia', 'Chopin, Justyna', 'Chopin, Mikołaj', 'Jędrzejewiczowa, Ludwika']",,,"['Dziewanowski, Juliusz']"
427,,"['Gdańsk (7007660)', 'Kikół', 'Kozłowo', 'Pałac Czapskich (Warszawa)', 'Płock', 'Rościszewo', 'Toruń (7007831)', 'Turzno (powiat toruński)', 'Warszawa', 'Świecie']",,"['Barcińska, Izabella', 'Barciński, Antoni', 'Chopin, Justyna', 'Chopin, Mikołaj', 'Jędrzejewicz, Józef Kalasanty', 'Jędrzejewiczowa, Ludwika', 'Pruszak, Konstanty', 'Skarbek, Fryderyk (hrabia)', 'Woyciechowski, Tytus', 'Zboińska, Kamilla', 'Zboiński, Ksawery (hrabia)']"
1347,"['Sotte, C. P.']","['Warszawa', 'Wiedeń (7003321)']",,"['Chopin, Fryderyk']"
473,"['Chopin, Fryderyk']","['Paryż (7008038)', 'Warszawa']",,"['Elsner, Karolina', 'Jędrzejewiczowa, Ludwika', 'Kalkbrenner, Friedrich Wilhelm Michael', 'Mickiewicz, Adam', 'Norblin, Ludwik Piotr', 'Nowakowski, Józef', 'Orłowski, Antoni']"
481,,"['Chartres', 'Paryż', 'Pornic', 'Tourraine']",,"['Hiller, Ferdynand', 'Hofman, Aleksander Julian', 'Paër, Ferdinando', 'Schlesinger, Maurice', 'Szmitkowski, Leon']"
504,"['Chopin, Fryderyk']",,,
506,"['Chopin, Fryderyk']",['Bourges'],,"['Janowicz, Alojzy (pułkownik)']"
515,"['Chopin, Fryderyk']","['5, rue de la Chaussée d’Antin - Hôtel d’Épinay']",,"['Czartoryska, Anna', 'Kurowski, Józef']"
1364,"['Helminger, Carl', 'Kleinwächter, Louis']",['Praga (7006464)'],,"['Chopin, Fryderyk']"
1374,"['Jędrzejewiczowa, Ludwika']",,,"['Agnès (Mlle)', 'Chopin, Justyna', 'Ciechomska, Ludwika Magdalena', 'Deguerry, Gaspard', 'Dudevant, Solange', 'Erskine, Katherine', 'Franchomme, August', 'Franchomme, Cécile', 'Franchomme, Louise', 'Franchomme, René', 'Gavard, Charles', 'Gavard, Thérèse', 'Gavard, Élise', 'Grzymała, Wojciech', 'Herbault, Édouard', 'Hiller, Ferdynand', 'Lefébure-Wély, Louis James Alfred', 'Nakwaska, Ludwika', 'Obreskow, Natalia (księżna)', 'Skibicki, Franciszek', 'Souzzo, Catherine de (księżna)']"
1414,"['Fontana, Julian']","['38, rue de la Chaussée d’Antin']",,"['Perthuis, de (hrabia)']"
585,"['Fontana, Julian']",['Londyn'],,"['Koźmian, Stanisław Egbert', 'Matuszyński, Jan']"
611,"['Fontana, Julian']","['Palma (7008232)', 'Valldemosa']",,"['Chopin, Justyna', 'Chopin, Mikołaj', 'Grzymała, Wojciech', 'Matuszyński, Jan', 'Pleyel, Camille']"
614,"['Fontana, Julian']",,,"['Albrecht, Thomas', 'Barcińska, Izabella', 'Chopin, Justyna', 'Chopin, Mikołaj', 'Jędrzejewiczowa, Ludwika', 'Léo, Auguste', 'Matuszyński, Jan', 'Pleyel, Camille']"
623,"['Fontana, Julian']",['Paryż (7008038)'],,"['Léo, Auguste', 'Matuszyński, Jan', 'Pleyel, Camille', 'Probst, Heinrich Albert', 'Schlesinger, Maurice', 'Wodzińska, Teresa', 'Wodziński, Antoni']"
626,"['Fontana, Julian']",,,"['Grzymała, Wojciech', 'Matuszyński, Jan', 'Pleyel, Camille', 'Probst, Heinrich Albert', 'Schumann, Robert']"
635,"['Grzymała, Wojciech']",,,"['Gaubert, Pierre-Marcel', 'Matuszyński, Jan']"
638,"['Grzymała, Wojciech']","['Châteauroux', 'Châtre, la', 'Nohant', 'Paryż']",,"[""d’Agoult, Marie"", 'Sand, George']"
645,"['Fontana, Julian']","['5, rue Tronchet']",,"['Döhler, Theodor', 'Gutmann, Adolf', 'Matuszyński, Jan', 'Moscheles, Ignaz', 'Nakwaska, Ludwika', 'Neukomm, Sigismond von', 'Plater, Paulina (hrabianka)', 'Probst, Heinrich Albert', 'Wessel, Christian Rudolf', 'Wodziński, Antoni']"
3,"['Chopin, Fryderyk']","['5, rue Tronchet', 'Paryż (7008038)']",,
1343,"['Chopin, Fryderyk']","['5, rue Tronchet']",,"['Sand, George']"
24,"['Gutmann, Adolf']",['Rouen'],,
33,"['Fontana, Julian']","['Châteauroux', 'Paryż (7008038)']",,"['Pleyel, Camille']"
38,"['Fontana, Julian']","['Châteauroux', 'Paryż (7008038)']",,"['Matuszyński, Jan', 'Troupenas, Eugène-Théodore']"
44,"['Fontana, Julian']",,,"['Albrecht, Thomas', 'Alkan, Charles-Valentin', 'Léo, Auguste', 'Matuszyński, Jan']"
1366,"['Fontana, Julian']","['Lipsk (7017167)', 'Wiedeń']",,"['Dessauer, Josef', 'Dudevant, Solange', 'Liszt, Ferenc', 'Matuszyński, Jan', 'Mendelssohn-Bartholdy, Felix', 'Mickiewicz, Adam', 'Müller-Streicher, Friederike', 'Nakwaska, Ludwika', 'Rozières, Marie de', 'Sand, George', 'Schlesinger, Maurice', 'Wodzińska, Teresa', 'Wodziński, Antoni']"
52,"['Fontana, Julian']","['16, rue Pigalle', 'Warszawa']",,"['Albrecht, Thomas', 'Alkan, Charles-Valentin', 'Barcińska, Izabella', 'Chopin, Justyna', 'Chopin, Mikołaj', 'Grzymała, Wojciech', 'Jędrzejewiczowa, Ludwika', 'Léo, Auguste', 'Matuszyński, Jan', 'Młokosiewicz, Anna', 'Nowakowski, Józef', 'Pleyel, Camille', 'Sand, George', 'Troupenas, Eugène-Théodore', 'Wessel, Christian Rudolf']"
