name,x,y
Oostende,2.919496,51.2258565
Bordeaux,-0.5800364,44.841225
Portugal,-8.1353519,39.6621648
Szafarnia,21.4773864,53.1865247
Guillery,0.2303866,44.1842306
Londyn,-0.12765,51.5073359
Newel,6.5796265,49.814366
Kowalewo,19.8874296,52.7419391
Pałac Czapskich (Warszawa),21.015066447847467,52.2394096
Tuileries Garden,2.326840120561681,48.86366155
Indre,1.5382051557056249,46.81210565
Missouri River,-97.0680581,42.7599726
Wrocław,17.0326689,51.1089776
Brighton,-0.1400561,50.8214626
Versailles,2.1266886,48.8035403
Tulle,1.7706797,45.2678347
Karlsbad,12.8701437,50.2306216
Posiadłość George Sand (Nohant),1.9755263,46.6261469
Fontainebleau,2.7015872,48.4049375
New Orleans,-90.0782127,29.9759983
Mediolan,9.1896346,45.4641943
Glasgow,-4.2497933,55.8606182
Bourges,2.399125,47.0811658
Long Loch,-1.2087321924974685,60.31915245
Szczawnica,20.4761439,49.4266299
Aleksandrowo,20.2983333,52.8533333
Biskupiec,20.95518,53.8688
Brest,-4.4860088,48.3905283
Reinertz [Duszniki],6.973218027453047,51.28144145
Chicago,-87.6244212,41.8755616
Leeds,-1.5437941,53.7974185
Turzno (powiat toruński),18.7358654,53.1056869
Bayern,11.4038717,48.9467562
Würzburg,9.932966,49.79245
Toruń,18.6048094,53.0102721
Rouen,1.0939658,49.4404591
Saint-Germain-en-Laye,2.0917742569617808,48.93560465
Boston,-71.060511,42.3554334
Saint-Gratien,2.4081341,49.9656998
Luwr,2.3368747442628885,48.86147245
Havre,-109.677802,48.5536972
Nowy Jork,-74.0060152,40.7127281
België,4.6667145,50.6402809
Croissy,4.4785231,51.0263746
Chartres,1.4881434,48.4438601
Grignon,4.4099524,47.5587744
Montmartre,2.3415715,48.8867054
Keir House,-3.9828975884499713,56.16615275
Keśmark,20.4308701,49.1362088
Obory (powiat golubsko-dobrzyński),19.2150252,53.0030641
Nohant,1.9755263,46.6261469
Rościszewo,19.7748102,52.9009267
Frankfurt,8.6820917,50.1106444
Newcastle,-1.6131572,54.9738474
Montreal,-73.5698065,45.5031824
Champrosay,2.421729,48.6591649
Champ-de-Mars,2.297820393322227,48.85614465
Washington,-77.0365427,38.8950368
Aix-en-Provence,5.4474738,43.5298424
Italia,12.674297,42.6384261
Golub,19.0530556,53.1144444
Düsseldorf,6.7763137,51.2254018
Gascogne,-1.149784705440171,45.3567877
Nieżyn,31.8806289,51.0464747
Riond-Bosson,6.4853176,46.5039405
Lisbon,-9.1365919,38.7077507
Drezno,13.7381437,51.0493286
Saragossa,-0.8809428,41.6521342
Dublin,-6.2602964,53.3498006
Warszawa,21.0067249,52.2319581
Marsylia,5.3699525,43.2961743
Sicilia,14.155048,37.587794
Amphion,-98.635576,28.9985808
Valldemosa,2.6216096,39.7087643
Służewo,18.64856,52.85548
Lucyn,27.7242092,56.5477177
Stuttgart,9.1800132,48.7784485
Keir,33.0070807,7.9649336
Akwizgran,6.083862,50.776351
Bonn,7.10066,50.735851
Zasław,26.8207625,50.1194691
la Châtre,1.9892292,46.5815678
Genewa,6.1466014,46.2017559
Ciechocinek,18.80326826019677,52.883941300000004
Liverpool,-2.99168,53.4071991
Lipsk,12.3747329,51.3406321
Bukareszt,26.1027202,44.4361414
Roma,12.4829321,41.8933203
Sudyłków,27.13142,50.166321
Bazylea,7.5878261,47.5581077
Strasburg,7.7507127,48.584614
Palma,2.6500745,39.5695818
Manchester,-2.2451148,53.4794892
Petersburg,30.316229,59.938732
Nieszawa,18.885163269944535,52.8396506
Neptune,-81.7798545,39.0753562
Edynburg,-3.1883749,55.9533456
Pęcice,15.0043828,50.3494206
Lyon,4.8320114,45.7578137
Sokołowo,17.566534,52.3473502
Châteauroux,1.6770956,46.8203785
Szczecin,14.5509623,53.4301818
Chenonceaux,1.0704332,47.332025
Bois de Boulogne,2.248257867854371,48.86409285
Genua,8.9338624,44.40726
Polska,19.134422,52.215933
Dynaburg,26.5159337,55.8712267
Wilno,25.2829111,54.6870458
Bruksela,4.351697,50.8465573
Tourraine,-1.4778718,49.573367
Tours,0.6889268,47.3900474
Kozłowo,20.4191844,52.9088481
38 rue de la Chaussée d’Antin,2.3332147,48.8733802
Vallée Noire,0.3641352,47.7970307
Krzemieniec,25.7260783,50.0960966
Bourgogne,4.222486304306048,47.27808725
Florencja,11.2555757,43.7698712
Ryga,24.1051846,56.9493977
Wisła,20.0466979,52.3807439
Antonin,17.0205556,52.4075
Dubiśne,,
Cambrai,3.2346145,50.1757546
Kolonia,6.959974,50.938361
Orlean,1.9086066,47.9027336
5 rue Tronchet,2.3251548,48.8712658
Kraków,19.9368564,50.0619474
Gdańsk,18.61298210330077,54.3706858
Ciechomicze,,
Cher,2.5753333606655704,47.024882399999996
Hamburg,10.000654,53.550341
Pornic,-2.1040102,47.1152695
Nice,7.2683912,43.7009358
Chrolin,27.2481792,50.151132
Perpignan,2.8953121,42.6985304
Poznań,16.91973259178088,52.4006632
Aranjuez,-3.6039604,40.03221
Monachium,11.5753822,48.1371079
Busko,20.7169444,50.4858333
Schwerin,11.4148038,53.6288297
Dom George Sand (Nohant),1.9762890124047277,46.62457805
Russia,97.7453061,64.6863136
Żelazowa Wola,20.3108556,52.2584445
la Madeleine,3.0733338,50.654401
16 rue Pigalle,1.4214764,43.6087907
Baltimore,-76.610759,39.2908816
Kikół,19.1203608,52.912338
Scotland,-4.1140518,56.7861112
Poturzyn,23.936448,50.56191
Faubourg Saint-Germain,2.32331,48.856257
5 rue de la Chaussée d’Antin - Hôtel d’Épinay,2.3336065,48.8720368
Świecie,18.4455253,53.4072518
9 square d'Orléans,2.497761335076248,49.0433481
Paryż,2.3483915,48.8534951
Nantes,-1.5541362,47.2186371
Pyrénées,0.4969969,42.6982487
Valmont,0.5124798,49.7444276
Witebsk,30.2070437,55.1930197
74 rue de Chaillot,-71.2001,46.867556
Hôtel Lambert,2.3597756385777435,48.8509945
Madrid,-3.7035825,40.4167047
Kaszyn,37.611454,57.361755
Moskwa,37.6174943,55.7504461
Płock,19.7008606,52.5464521
Nałęczów,22.214792,51.2876064
Avenue des Champs-Élysées,2.2968419,48.8732055
Seine,2.4448155,48.7340697
Chaillot,2.2921131852552343,48.868918449999995
Kijów,30.5241361,50.4500336
Abbeville,1.8337029,50.1060835
France,1.8883335,46.603354
Neapol,14.2487679,40.8358846
Berlin,13.3888599,52.5170365
Majorka,2.8829026938823548,39.613432
Praga,14.4212535,50.0874654
Heidelberg,8.694724,49.4093582
Bretagne,-2.9202408,48.2640845
Wiedeń,16.3725042,48.2083537
Besançon,6.0243622,47.2380222
La Châtre,1.9892292,46.5815678
Rudnia,31.0906286,54.9471458
Royal Opera House,-0.1225498306360201,51.5129126
Zakopane,19.950659,49.2969446
